"participant_id",        "condition",        "response_format",        "block",        "training_trial_count",        "test_trial_count",        "trial_index",        "target_truth_value",        "target_content_type",        "linguistic_prompt",        "target_image",        "images_in_presentation_order_0",        "images_in_presentation_order_1",        "images_in_presentation_order_2",        "images_in_presentation_order_3",        "response",        "time_elapsed",        "rt"
"7xhlc4fpyh","truth","slider","training","1","na","5","na","na","The triangle is blue.","pilot_scenes/training_stims/target-A.jpg","pilot_scenes/training_stims/target-A.jpg","pilot_scenes/training_stims/filler-A3.jpg","pilot_scenes/training_stims/filler-A2.jpg","pilot_scenes/training_stims/filler-A1.jpg","59","15741","3586"
"7xhlc4fpyh","truth","slider","training","2","na","6","na","na","The triangle is blue.","pilot_scenes/training_stims/target-A.jpg","pilot_scenes/training_stims/target-A.jpg","pilot_scenes/training_stims/filler-A3.jpg","pilot_scenes/training_stims/filler-A2.jpg","pilot_scenes/training_stims/filler-A1.jpg","38","17095","1352"
"7xhlc4fpyh","truth","slider","training","3","na","7","na","na","The triangle is blue.","pilot_scenes/training_stims/target-A.jpg","pilot_scenes/training_stims/target-A.jpg","pilot_scenes/training_stims/filler-A3.jpg","pilot_scenes/training_stims/filler-A2.jpg","pilot_scenes/training_stims/filler-A1.jpg","89","21329","4232"
"7xhlc4fpyh","truth","slider","training","1","na","9","na","na","The square that is next to the triangle is green.","pilot_scenes/training_stims/target-B.jpg","pilot_scenes/training_stims/filler-B2.jpg","pilot_scenes/training_stims/filler-B3.jpg","pilot_scenes/training_stims/target-B.jpg","pilot_scenes/training_stims/filler-B1.jpg","96","36052","13576"
"7xhlc4fpyh","truth","slider","training","2","na","10","na","na","The square that is next to the triangle is green.","pilot_scenes/training_stims/target-B.jpg","pilot_scenes/training_stims/filler-B2.jpg","pilot_scenes/training_stims/filler-B3.jpg","pilot_scenes/training_stims/target-B.jpg","pilot_scenes/training_stims/filler-B1.jpg","4","48369","12316"
"7xhlc4fpyh","truth","slider","training","3","na","11","na","na","The square that is next to the triangle is green.","pilot_scenes/training_stims/target-B.jpg","pilot_scenes/training_stims/filler-B2.jpg","pilot_scenes/training_stims/filler-B3.jpg","pilot_scenes/training_stims/target-B.jpg","pilot_scenes/training_stims/filler-B1.jpg","91","53090","4719"
"7xhlc4fpyh","truth","slider","training","4","na","12","na","na","The square that is next to the triangle is green.","pilot_scenes/training_stims/target-B.jpg","pilot_scenes/training_stims/filler-B2.jpg","pilot_scenes/training_stims/filler-B3.jpg","pilot_scenes/training_stims/target-B.jpg","pilot_scenes/training_stims/filler-B1.jpg","96","55909","2817"
"7xhlc4fpyh","truth","slider","training","5","na","13","na","na","The square that is next to the triangle is green.","pilot_scenes/training_stims/target-B.jpg","pilot_scenes/training_stims/filler-B2.jpg","pilot_scenes/training_stims/filler-B3.jpg","pilot_scenes/training_stims/target-B.jpg","pilot_scenes/training_stims/filler-B1.jpg","6","58300","2389"
"7xhlc4fpyh","truth","slider","training","6","na","14","na","na","The square that is next to the triangle is green.","pilot_scenes/training_stims/target-B.jpg","pilot_scenes/training_stims/filler-B2.jpg","pilot_scenes/training_stims/filler-B3.jpg","pilot_scenes/training_stims/target-B.jpg","pilot_scenes/training_stims/filler-B1.jpg","40","60037","1736"
"7xhlc4fpyh","truth","slider","training","1","na","16","na","na","The circle is blue and is right of the triangle.","pilot_scenes/training_stims/target-C.jpg","pilot_scenes/training_stims/filler-C2.jpg","pilot_scenes/training_stims/target-C.jpg","pilot_scenes/training_stims/filler-C3.jpg","pilot_scenes/training_stims/filler-C1.jpg","1","192427","10699"
"7xhlc4fpyh","truth","slider","test","na","1","19","tf","con","The square is orange and is left of the circle.","pilot_scenes/con-tf-1.jpg","pilot_scenes/con-tf-2.jpg","pilot_scenes/con-tf-1.jpg","pilot_scenes/con-tf-2.jpg","pilot_scenes/con-tf-1.jpg","65","199875","3135"
"7xhlc4fpyh","truth","slider","test","na","2","20","ft","only","Only the square is green.","pilot_scenes/only-ft-2.jpg","pilot_scenes/only-ff-2.jpg","pilot_scenes/only-tt-1.jpg","pilot_scenes/only-ft-2.jpg","pilot_scenes/only-tf-2.jpg","40","201665","1789"
"7xhlc4fpyh","truth","slider","test","na","3","21","tf","arc","The circle, which is blue, is right of the triangle.","pilot_scenes/arc-tf-2.jpg","pilot_scenes/arc-tf-2.jpg","pilot_scenes/arc-ff-2.jpg","pilot_scenes/arc-tt-1.jpg","pilot_scenes/arc-tf-2.jpg","62","203052","1385"
"7xhlc4fpyh","truth","slider","test","na","4","22","ft","con","The square is orange and is left of the circle.","pilot_scenes/con-ft-2.jpg","pilot_scenes/con-ft-2.jpg","pilot_scenes/con-ft-2.jpg","pilot_scenes/con-tf-2.jpg","pilot_scenes/con-ft-2.jpg","61","204136","1083"
"7xhlc4fpyh","truth","slider","test","na","5","23","tt","def_ex","The blue circle is next to the triangle.","pilot_scenes/def_ex-tt-1.jpg","pilot_scenes/def_ex-tt-1.jpg","pilot_scenes/def_ex-tt-2.jpg","pilot_scenes/def_ex-ff-1.jpg","pilot_scenes/def_ex-ft-1.jpg","58","205358","1220"
